"","mouse_uni","shared_gene","human_uni"
"1","Q99J83","ATG5","Q9H1Y0"
"2","P10417","BCL2","P10415"
"3","O88597","BECN1","Q14457"
"4","Q8K019","BCLAF1","Q9NYF8"
"5","Q8VC31","CCDC9","Q9Y3X0"
"6","Q3TTA7","CBLB","Q13191"
"7","E9Q3C1","C2CD2","Q9Y426"
"8","Q9JLK3","CABP5","Q9NP86"
"9","A2ATD1","ISM1","B1AKI9"
"10","Q6GU68","ISLR","O14498"
"11","Q8K337","INPP5B","P32019"
"12","P81122","IRS2","Q9Y4H2"
"13","Q6P1C1","IPPK","Q9H8X2"
"14","Q6ZPU9","KIFBP","Q96EK5"
"15","A2A5X4","KRTAP29-1","A8MX34"
"16","Q3U2K5","KDM4D","Q6B0I6"
"17","Q8BSM7","SLC43A1","O75387"
"18","Q8CB14","LAS2","Q8IYD9"
"19","Q8BGA5","KRR1","Q13601"
"20","Q14C37","LEMD1","Q68G75"
"21","Q99M74","KRT82","Q9NSB4"
"22","Q9Z1M4","RPS6KB2","Q9UBS0"
"23","P06151","LDHA","P00338"
"24","P01845","IGLC3","P0DOY3"
"25","Q925H6","KRTAP19-3","Q7Z4W3"
"26","A6H694","LRRC63","Q05C16"
"27","Q149R9","LPAR5","Q9H1C0"
"28","P54310","LIPE","Q05469"
"29","Q6PFC5","LRIT2","A6NDA9"
"30","Q9JL06","LPAR2","Q9HBW0"
"31","Q924H2","MED15","Q96RN5"
"32","Q5UAK0","MIER1","Q8N108"
"33","Q3UQI9","MINDY4","Q4G0A6"
"34","P24668","M6PR","P20645"
"35","Q9CQ19","MYL9","P24844"
"36","F8VQB6","MYO10","Q9HD67"
"37","Q8BP56","PGGHG","Q32M88"
"38","Q05769","PTGS2","P35354"
"39","Q9CZG9","PDZD11","Q5EBL8"
"40","Q9CQH0","PDZK1IP1","Q13113"
"41","P47857","PFKM","P08237"
"42","O70400","PDLIM1","O00151"
"43","Q8R1G6","PDLIM2","Q96JY6"
"44","Q9WUA3","PFKP","Q01813"
"45","O35973","PER1","O15534"
"46","P70271","PDLIM4","P50479"
"47","Q8CI51","PDLIM5","Q96HC4"
"48","P09041","PGK2","P07205"
"49","Q3TJD7","PDLIM7","Q9NR12"
"50","Q8BYB9","POGLUT1","Q8NBL1"
"51","O54943","PER2","O15055"
"52","Q3UV70","PDP1","Q9P0J1"
"53","Q9D0F9","PGM1","P36871"
"54","Q8CAA7","PGM2L1","Q6PCE3"
"55","Q7TSV4","PGM2","Q96G03"
"56","Q9Z2A0","PDPK1","O15530"
"57","O70361","PER3","P56645"
"58","Q8BZF8","PGM5","Q15124"
"59","Q62011","PDPN","Q86YL7"
"60","Q7TSQ8","PDPR","Q8NCN5"
"61","P16331","PAH","P00439"
"62","P70669","PHEX","P78562"
"63","Q9D8M7","PHF10","Q8WUB8"
"64","P59048","PDRG1","Q9NUG6"
"65","Q8K183","PDXK","O00764"
"66","A6H5X4","PHF11","Q9UIL8"
"67","Q5SPL2","PHF12","Q96QT6"
"68","Q8K2W6","PHF13","Q86YI8"
"69","Q9EPR2","PLA2G12A","Q9BZM1"
"70","Q99P27","PLA2G12B","Q9BX93"
"71","Q9D7R7","PGC","P20142"
"72","Q8C669","PELI1","Q96FA3"
"73","Q9D4H9","PHF14","O94880"
"74","Q8BST6","PELI2","Q9HAT8"
"75","Q8CAE9","PODXL2","Q9NZ53"
"76","Q9CXG9","PHF19","Q5T6S3"
"77","Q8BXR6","PELI3","Q8N2H9"
"78","Q91YL7","CWH43","Q9H720"
"79","Q9QY39","PDZD4","Q76G19"
"80","Q922R1","PHAF1","Q9BSU1"
"81","E9Q9W7","PDZD7","Q9H5P4"
"82","Q9Z1B8","PHF1","O43189"
"83","Q11136","PEPD","P12955"
"84","Q3U1F9","PAG1","Q9NWQ8"
"85","B9EJ80","PDZD8","Q8NEN9"
"86","Q9D9M4","PDZD9","Q8IXQ8"
"87","Q8BLG0","PHF20","Q9BVI0"
"88","Q8BSN5","PHF23","Q9BUL5"
"89","Q2M3X8","PHACTR1","Q9C0D0"
"90","Q80TL4","PHF24","Q9UPV7"
"91","Q80X73","PELO","Q9BRX2"
"92","P35375","PTGER1","P34995"
"93","Q8BYK5","PHACTR3","Q96KR7"
"94","Q9WTU0","PHF2","O75151"
"95","Q62053","PTGER2","P43116"
"96","Q501J7","PHACTR4","Q8IZ21"
"97","P30557","PTGER3","P43115"
"98","P83870","PHF5A","Q7RTV0"
"99","P32240","PTGER4","P35408"
"100","Q99K01","PDXDC1","Q6P996"
"101","Q9DBD5","PELP1","Q8IZL8"
"102","Q6NSR8","NPEPL1","Q8NDH3"
"103","Q9R269","PPL","O60437"
"104","Q9D4J7","PHF6","Q8IWS0"
"105","Q9JJT9","PHAX","Q9H814"
"106","Q9DAG9","PHF7","Q9BWX1"
"107","Q62048","PEA15","Q15121"
"108","Q61907","PEMT","Q9UBM1"
"109","Q69Z38","PEAK1","Q9H792"
"110","Q80TJ7","PHF8","Q9UPP1"
"111","Q9DBJ1","PGAM1","P18669"
"112","P67778","PHB1","P35232"
"113","O70250","PGAM2","P15259"
"114","Q8VIK5","PEAR1","Q5VY43"
"115","Q9CQR7","PSENEN","Q9NZ42"
"116","Q8K0G7","PHGR1","C9JFL3"
"117","O35129","PHB2","Q99623"
"118","Q8BX10","PGAM5","Q96HS1"
"119","Q08024","CBFB","Q13951"
"120","Q3UUQ7","PGAP1","Q75T13"
"121","Q3TQR0","PGAP2","Q9UHJ9"
"122","P70296","PEBP1","P30086"
"123","Q8BGT8","PHYHIPL","Q96FC7"
"124","Q64028","PHC1","P78364"
"125","Q9QYC1","PCNX1","Q96RV3"
"126","A2A559","PGAP3","Q96FM1"
"127","P22005","PENK","P01210"
"128","Q9D9G2","PEBP4","Q96S96"
"129","Q5DU28","PCNX2","A6NKB5"
"130","Q91YV9","PGAP4","Q9BRR3"
"131","Q9QWH1","PHC2","Q8IXK0"
"132","Q8VI59","PCNX3","Q9H6A9"
"133","Q8VDD9","PHIP","Q8WWQ0"
"134","Q9ESN3","PGAP6","Q9HCN3"
"135","Q3UVY5","PCNX4","Q63HM2"
"136","Q8CHP6","PHC3","Q8NDX5"
"137","Q08481","PECAM1","P16284"
"138","Q8CIW5","TWNK","Q96RR1"
"139","D3YZI9","PGBD5","Q8N414"
"140","P07934","PHKG1","Q16816"
"141","A2A259","PKD2L1","Q9P0L9"
"142","Q60806","PLK3","Q9H4B4"
"143","Q9JLG4","PKD2L2","Q9NZM6"
"144","Q99MZ7","PECR","Q9BY49"
"145","Q05793","HSPG2","P98160"
